,UTC time,carbon_intensity,carbon_from_src_forecasts,avg_wind_production_forecast,avg_nuclear_production_forecast,avg_unknown_production_forecast,avg_hydro_production_forecast
0,2021-07-01 00:00:00,35.49,34.95,2650,5388.2974,924.50714,6247.138
1,2021-07-01 01:00:00,35.73,35.07,2756,5405.068,915.51483,5934.696
2,2021-07-01 02:00:00,35.55,35.19,2842,5405.015,913.949,5772.4126
3,2021-07-01 03:00:00,34.86,34.2,2840,5416.518,905.7793,6066.8384
4,2021-07-01 04:00:00,32.13,33.16,2769,5429.734,908.15326,6642.093
5,2021-07-01 05:00:00,31.48,32.5,2777,5432.7783,934.2861,7383.5376
6,2021-07-01 06:00:00,30.49,31.1,2931,5429.5825,945.41,8174.6235
7,2021-07-01 07:00:00,29.77,30.29,3112,5421.299,972.0984,8950.661
8,2021-07-01 08:00:00,30.13,30.27,3233,5422.6343,990.0186,9159.8545
9,2021-07-01 09:00:00,30.23,30.85,3280,5436.263,1004.64075,9006.456
10,2021-07-01 10:00:00,30.46,31.51,3283,5418.685,1015.95465,8820.312
11,2021-07-01 11:00:00,31.27,31.97,3256,5412.5186,1012.90936,8537.7
12,2021-07-01 12:00:00,31.44,32.53,3168,5426.142,1013.36865,8302.065
13,2021-07-01 13:00:00,31.48,32.84,3060,5422.737,1014.64404,8269.0625
14,2021-07-01 14:00:00,31.68,32.78,2907,5409.533,1006.65186,8334.404
15,2021-07-01 15:00:00,32.01,32.71,2781,5422.149,1007.00183,8492.221
16,2021-07-01 16:00:00,32.13,32.45,2617,5434.8267,1000.7748,8682.136
17,2021-07-01 17:00:00,31.77,32.7,2466,5428.161,1006.8814,8802.037
18,2021-07-01 18:00:00,31.86,32.59,2443,5438.7,1002.77124,8806.62
19,2021-07-01 19:00:00,31.77,32.48,2538,5440.6445,993.98785,8622.795
20,2021-07-01 20:00:00,31.98,32.58,2649,5426.4688,980.5596,8249.076
21,2021-07-01 21:00:00,32.39,33.23,2708,5409.9575,964.60394,7608.0776
22,2021-07-01 22:00:00,32.31,34.67,2481,5434.6226,945.79755,6824.9365
23,2021-07-01 23:00:00,32.85,36.07,2398,5406.1597,927.747,6057.6597
24,2021-07-02 00:00:00,32.9,34.69,2259,5370.1816,920.7217,6711.3364
25,2021-07-02 01:00:00,33.51,35.11,2097,5386.892,913.5022,6564.4507
26,2021-07-02 02:00:00,33.53,35.66,1975,5386.9375,913.8846,6459.888
27,2021-07-02 03:00:00,33.61,34.74,1814,5398.3545,905.89764,6873.7197
28,2021-07-02 04:00:00,33.24,33.96,1555,5411.562,909.2332,7519.791
29,2021-07-02 05:00:00,32.13,33.91,1287,5414.559,933.7222,8198.994
30,2021-07-02 06:00:00,31.55,33.24,1149,5411.353,942.629,8802.194
31,2021-07-02 07:00:00,32.36,32.96,1134,5403.1484,965.8597,9348.589
32,2021-07-02 08:00:00,32.79,33.22,1148,5404.6235,980.4939,9437.046
33,2021-07-02 09:00:00,32.89,33.8,1176,5418.017,992.9455,9305.67
