,UTC time,carbon_intensity,carbon_from_src_forecasts,avg_wind_production_forecast,avg_nuclear_production_forecast,avg_unknown_production_forecast,avg_hydro_production_forecast
0,2021-07-01 00:00:00,35.49,34.62,2650,5388.2974,927.13786,6431.9365
1,2021-07-01 01:00:00,35.73,34.63,2756,5405.068,914.65582,6111.26617
2,2021-07-01 02:00:00,35.55,33.97,2842,5405.015,900.55428,6095.88074
3,2021-07-01 03:00:00,34.86,33.75,2840,5416.518,909.96059,6335.66104
4,2021-07-01 04:00:00,32.13,33.28,2769,5429.734,925.6412,6868.08834
5,2021-07-01 05:00:00,31.48,32.95,2777,5432.7783,948.68446,7394.9631
6,2021-07-01 06:00:00,30.49,32.61,2931,5429.5825,983.28262,7994.39509
7,2021-07-01 07:00:00,29.77,31.9,3112,5421.299,998.03376,8457.34828
8,2021-07-01 08:00:00,30.13,31.73,3233,5422.6343,1009.29031,8624.13272
9,2021-07-01 09:00:00,30.23,31.87,3280,5436.263,1016.89819,8611.31827
10,2021-07-01 10:00:00,30.46,32.09,3283,5418.685,1016.5094,8496.63832
11,2021-07-01 11:00:00,31.27,32.56,3256,5412.5186,1021.99307,8360.07217
12,2021-07-01 12:00:00,31.44,32.92,3168,5426.142,1021.34412,8226.17345
13,2021-07-01 13:00:00,31.48,33.44,3060,5422.737,1030.29609,8202.55895
14,2021-07-01 14:00:00,31.68,33.86,2907,5409.533,1033.50758,8201.08327
15,2021-07-01 15:00:00,32.01,33.53,2781,5422.149,1022.82576,8312.35686
16,2021-07-01 16:00:00,32.13,33.97,2617,5434.8267,1029.99325,8351.63015
17,2021-07-01 17:00:00,31.77,33.71,2466,5428.161,1021.30624,8506.85304
18,2021-07-01 18:00:00,31.86,33.56,2443,5438.7,1016.19132,8511.18034
19,2021-07-01 19:00:00,31.77,33.05,2538,5440.6445,1000.83511,8431.89265
20,2021-07-01 20:00:00,31.98,33.15,2649,5426.4688,993.46933,8163.52518
21,2021-07-01 21:00:00,32.39,33.19,2708,5409.9575,971.97653,7750.66388
22,2021-07-01 22:00:00,32.31,33.92,2481,5434.6226,952.68466,7283.43325
23,2021-07-01 23:00:00,32.85,35.18,2398,5406.1597,947.27826,6729.33815
