UTC time,carbon_intensity,avg_wind_production_forecast,avg_nuclear_production_forecast,avg_unknown_production_forecast,avg_hydro_production_forecast
2021-07-01 00:00:00,35.49,2650,5388.2974,927.13786,6431.9365
2021-07-01 01:00:00,35.73,2756,5405.068,914.65582,6111.26617
2021-07-01 02:00:00,35.55,2842,5405.015,900.55428,6095.88074
2021-07-01 03:00:00,34.86,2840,5416.518,909.96059,6335.66104
2021-07-01 04:00:00,32.13,2769,5429.734,925.6412,6868.08834
2021-07-01 05:00:00,31.48,2777,5432.7783,948.68446,7394.9631
2021-07-01 06:00:00,30.49,2931,5429.5825,983.28262,7994.39509
2021-07-01 07:00:00,29.77,3112,5421.299,998.03376,8457.34828
2021-07-01 08:00:00,30.13,3233,5422.6343,1009.29031,8624.13272
2021-07-01 09:00:00,30.23,3280,5436.263,1016.89819,8611.31827
2021-07-01 10:00:00,30.46,3283,5418.685,1016.5094,8496.63832
2021-07-01 11:00:00,31.27,3256,5412.5186,1021.99307,8360.07217
2021-07-01 12:00:00,31.44,3168,5426.142,1021.34412,8226.17345
2021-07-01 13:00:00,31.48,3060,5422.737,1030.29609,8202.55895
2021-07-01 14:00:00,31.68,2907,5409.533,1033.50758,8201.08327
2021-07-01 15:00:00,32.01,2781,5422.149,1022.82576,8312.35686
2021-07-01 16:00:00,32.13,2617,5434.8267,1029.99325,8351.63015
2021-07-01 17:00:00,31.77,2466,5428.161,1021.30624,8506.85304
2021-07-01 18:00:00,31.86,2443,5438.7,1016.19132,8511.18034
2021-07-01 19:00:00,31.77,2538,5440.6445,1000.83511,8431.89265
2021-07-01 20:00:00,31.98,2649,5426.4688,993.46933,8163.52518
2021-07-01 21:00:00,32.39,2708,5409.9575,971.97653,7750.66388
2021-07-01 22:00:00,32.31,2481,5434.6226,952.68466,7283.43325
2021-07-01 23:00:00,32.85,2398,5406.1597,947.27826,6729.33815
2021-07-02 00:00:00,32.9,2259,5370.1816,923.53452,7146.78993
2021-07-02 01:00:00,33.51,2097,5386.892,915.47193,6859.80939
2021-07-02 02:00:00,33.53,1975,5386.9375,900.64154,6883.29722
2021-07-02 03:00:00,33.61,1814,5398.3545,907.93325,7178.35103
2021-07-02 04:00:00,33.24,1555,5411.562,919.90475,7734.292
2021-07-02 05:00:00,32.13,1287,5414.559,940.08485,8251.00299
2021-07-02 06:00:00,31.55,1149,5411.353,975.5317,8760.46882
2021-07-02 07:00:00,32.36,1134,5403.1484,986.78002,9103.60595
2021-07-02 08:00:00,32.79,1148,5404.6235,994.63877,9174.29073
2021-07-02 09:00:00,32.89,1176,5418.017,999.26858,9102.01743
2021-07-02 10:00:00,33.89,1195,5400.4595,1001.66826,8953.13479
2021-07-02 11:00:00,32.88,1198,5394.4214,1006.12485,8809.54187
2021-07-02 12:00:00,34.22,1146,5407.9497,1012.05349,8673.02741
2021-07-02 13:00:00,34.08,1068,5404.6587,1019.04792,8657.81416
2021-07-02 14:00:00,34.31,963,5391.5137,1019.04175,8640.08345
2021-07-02 15:00:00,34.69,853,5404.011,1003.93961,8752.62014
2021-07-02 16:00:00,34.53,772,5416.674,1006.72748,8769.34692
2021-07-02 17:00:00,33.81,732,5410.055,997.88219,8871.08866
2021-07-02 18:00:00,33.67,758,5420.4106,995.27104,8786.46464
2021-07-02 19:00:00,33.47,838,5422.47,980.0091,8631.76374
2021-07-02 20:00:00,33.38,922,5408.405,982.54244,8283.6492
2021-07-02 21:00:00,33,943,5392.03,965.76723,7825.79644
2021-07-02 22:00:00,33.11,1134,5416.561,950.40562,7342.81566
2021-07-02 23:00:00,34.09,1075,5388.3677,946.22427,6823.02408
2021-07-03 00:00:00,34.31,986,5343.2295,925.36724,8323.162
