UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,other,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_solar_production_forecast,avg_wind_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_coal_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_other_production_forecast
2020-01-01 00:00:00,12,7290,2273,91,0,1403,225,0,5.77110512375336,282.584437409513,277.492615046876,307.611376812939,0.237006211555804,780.89,2591.15,263.11526,6769.658,9.40856,2274.8171,86.900345,2.13001
2020-01-01 01:00:00,15,9098,2272,91,0,0,222,0,5.29564095194528,280.796654462919,277.327491226538,7.38633091439661,0.163704606236336,0.25,2611.83,367.9419,7870.978,9.735306,2264.6309,86.44538,3.48088
2020-01-01 02:00:00,14,8827,2273,91,0,0,263,0,5.29564095194528,280.796654462919,277.327491226538,7.38633091439661,0.163704606236336,0,2587.56,396.20358,7948.4004,9.981902,2267.8079,86.61325,5.57628
2020-01-01 03:00:00,12,8040,2272,91,0,0,379,0,5.29564095194528,280.796654462919,277.327491226538,7.38633091439661,0.163704606236336,0,2529.45,469.32996,7943.7827,10.079967,2266.6743,84.90256,8.81107
2020-01-01 04:00:00,15,7826,2272,46,0,0,345,0,5.1855823837933,279.946580964577,276.499523008458,2.28863817198944,0.223802922494437,0,2438.33,599.3458,8047.516,10.20998,2275.3394,85.50213,12.48437
2020-01-01 05:00:00,12,7710,2272,90,0,0,277,0,5.1855823837933,279.946580964577,276.499523008458,2.28863817198944,0.223802922494437,0,2348.83,221.12721,8720.876,10.020034,2276.1416,83.91723,12.65314
2020-01-01 06:00:00,12,7717,2275,90,0,0,248,0,5.1855823837933,279.946580964577,276.499523008458,2.28863817198944,0.223802922494437,0,2300.54,215.25642,8626.321,10.39036,2272.686,85.20539,12.12414
2020-01-01 07:00:00,10,8221,2275,46,0,0,334,0,5.16068306649301,279.215700986875,275.710298851487,0,0.010683991192314,0,2286.18,216.19162,8412.772,10.061327,2263.9414,86.79534,10.20826
2020-01-01 08:00:00,11,8326,2275,46,0,0,286,0,5.16068306649301,279.215700986875,275.710298851487,0,0.010683991192314,0,2384.42,92.96041,8230.122,10.244017,2267.812,85.85536,7.15879
2020-01-01 09:00:00,9,8372,2272,91,0,0,308,0,5.16068306649301,279.215700986875,275.710298851487,0,0.010683991192314,0,2265.4,38.72095,7338.8384,10.080241,2272.134,85.658165,4.05699
2020-01-01 10:00:00,8,7428,2274,90,0,0,609,0,5.03218132396538,278.726945196294,274.962583323806,0,0.019284975907882,0,2106.24,23.067657,6886.973,10.644889,2276.0447,86.194244,0
2020-01-01 11:00:00,9,7118,2274,91,0,0,445,0,5.03218132396538,278.726945196294,274.962583323806,0,0.019284975907882,0,1927.16,228.66553,7133.4443,10.903098,2282.3179,84.73224,0
2020-01-01 12:00:00,9,6710,2272,90,0,0,671,0,5.03218132396538,278.726945196294,274.962583323806,0,0.019284975907882,0,1644.12,376.93433,7709.5566,10.727298,2283.0667,85.6509,0
2020-01-01 13:00:00,9,6629,2271,90,0,0,558,0,4.83286830003722,278.428006702351,274.430077210889,0,0.001492814872458,0,1428.31,321.5613,8173.033,10.873839,2288.3572,85.28306,0.99582
2020-01-01 14:00:00,9,6312,2272,58,0,0,775,0,4.83286830003722,278.428006702351,274.430077210889,0,0.001492814872458,4.54,1402.17,236.51057,8298.224,10.765647,2284.421,84.431114,5.76802
