,UTC time,carbon_intensity,carbon_from_src_forecasts,avg_solar_production_forecast,avg_wind_production_forecast,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_other_production_forecast
0,2021-07-01 00:00:00,162.35,176.11,8200.49,1910.67,16.12042,14028.052,2242.228,86.11041,3488.2852,102.02382
1,2021-07-01 01:00:00,183.72,204.07,5072.13,1873.12,16.181322,15435.74,2232.438,85.316765,3856.5776,195.39495
2,2021-07-01 02:00:00,226.5,239.0,1306.92,1814.74,16.18553,16139.448,2251.692,84.14757,4001.9211,309.6195
3,2021-07-01 03:00:00,250.79,255.8,26.63,1888.15,16.140068,16177.031,2244.374,86.14879,3617.8352,378.88102
4,2021-07-01 04:00:00,251.0,255.75,0.0,1913.47,16.289238,14946.947,2240.249,85.55086,3046.6414,353.05136
5,2021-07-01 05:00:00,253.65,253.74,0.1,1824.96,16.397003,13496.613,2250.5125,84.80269,2514.8083,254.72084
6,2021-07-01 06:00:00,242.78,248.25,2.01,1741.53,16.424921,12017.798,2233.8376,84.57183,2152.3755,112.38724
7,2021-07-01 07:00:00,245.9,239.26,0.0,1806.59,16.363443,10296.508,2237.3213,84.06206,1749.14,51.45484
8,2021-07-01 08:00:00,243.18,232.27,0.0,1743.13,16.221241,8663.05,2247.9429,83.712746,1266.5673,14.34415
9,2021-07-01 09:00:00,239.27,228.21,0.0,1597.63,16.402622,7595.5806,2234.5054,83.56692,1015.54663,16.36522
10,2021-07-01 10:00:00,236.96,224.89,0.03,1420.37,16.2322,6829.0317,2242.3313,83.484,920.307,45.61112
11,2021-07-01 11:00:00,235.3,228.58,0.04,1256.99,16.234217,6796.5044,2242.745,82.50109,955.1891,97.68728
12,2021-07-01 12:00:00,233.51,233.51,22.28,1104.85,16.161346,6994.1035,2253.743,84.08026,994.7572,129.0401
13,2021-07-01 13:00:00,228.12,207.68,1860.81,939.43,16.333982,7315.2524,2265.1052,83.53428,970.4824,110.38459
14,2021-07-01 14:00:00,168.95,155.21,6786.57,744.92,16.220304,7339.716,2257.683,84.16482,718.9331,56.19459
15,2021-07-01 15:00:00,144.28,127.35,9675.67,588.42,15.957767,6704.48,2259.4917,82.1641,509.69525,0.0
16,2021-07-01 16:00:00,133.48,118.94,10935.62,529.45,16.04614,6521.5312,2265.0886,81.87,319.593,0.0
17,2021-07-01 17:00:00,132.39,113.77,11622.31,559.65,15.707227,6452.2983,2255.4006,82.11892,394.54034,0.0
18,2021-07-01 18:00:00,128.73,111.79,11963.91,654.59,15.871517,6600.0474,2262.0732,81.32824,669.8547,0.0
19,2021-07-01 19:00:00,136.27,116.35,11919.59,792.94,15.911649,7155.283,2258.1406,83.34664,923.8183,0.0
20,2021-07-01 20:00:00,137.5,121.66,11838.62,969.75,15.751045,7840.4727,2260.7148,83.62852,1214.4075,0.0
21,2021-07-01 21:00:00,140.8,130.22,11547.07,1193.53,15.705291,8724.29,2254.134,83.20802,1350.1329,8.29499
22,2021-07-01 22:00:00,148.03,136.54,11120.57,1480.71,15.33578,9660.921,2258.7976,83.457985,1949.0332,17.28029
23,2021-07-01 23:00:00,156.27,144.28,10297.19,1801.17,15.726256,10664.487,2248.121,81.007164,2663.4163,37.54201
24,2021-07-02 00:00:00,164.05,172.72,8975.87,2097.58,17.516916,14225.952,2244.1958,86.45857,3298.3315,81.90367
25,2021-07-02 01:00:00,183.26,199.78,5210.57,2321.0,17.579674,15381.94,2234.4048,85.628975,3796.4465,169.78273
26,2021-07-02 02:00:00,228.33,233.7,1209.13,2444.35,17.51595,15947.183,2253.62,84.46182,3896.282,274.17898
27,2021-07-02 03:00:00,250.12,247.05,16.8,2543.29,17.510366,16109.278,2246.2659,86.46652,3727.5796,320.32812
28,2021-07-02 04:00:00,248.23,247.04,0.0,2623.44,17.617994,15085.974,2242.137,85.825096,3098.1047,273.3375
29,2021-07-02 05:00:00,241.91,245.64,0.09,2566.53,17.758348,13955.558,2252.3306,85.079124,2560.4531,164.80686
30,2021-07-02 06:00:00,237.49,243.56,1.25,2413.48,17.689268,12787.697,2235.6382,84.82188,2141.202,43.58038
31,2021-07-02 07:00:00,235.49,239.52,0.0,2125.56,17.651598,10994.128,2239.1042,84.32948,1749.2372,19.64287
32,2021-07-02 08:00:00,236.83,233.24,0.0,2002.62,17.47994,9320.194,2249.8137,83.97036,1342.4354,19.13313
33,2021-07-02 09:00:00,229.4,228.7,0.0,1830.64,17.612581,8221.306,2236.2444,83.80934,1162.0477,28.67405
34,2021-07-02 10:00:00,228.7,231.37,0.0,1576.47,17.410534,7657.019,2244.2668,83.72603,945.3054,50.48289
35,2021-07-02 11:00:00,226.58,234.09,0.0,1307.45,17.370186,7651.85,2244.5073,82.72471,1112.8502,84.08063
36,2021-07-02 12:00:00,236.3,239.88,21.65,1098.04,17.365078,7995.8564,2255.5083,84.352715,1207.03,106.56623
37,2021-07-02 13:00:00,237.47,214.56,1816.43,954.68,17.501772,8303.304,2267.003,83.77482,1248.3984,90.22895
38,2021-07-02 14:00:00,188.81,164.76,6703.45,811.94,17.375694,8337.284,2259.3667,84.41658,899.77075,41.31348
39,2021-07-02 15:00:00,158.87,137.74,9515.51,627.45,17.223764,7591.9746,2261.3604,82.39592,635.20685,0.0
40,2021-07-02 16:00:00,146.93,127.9,10637.48,484.18,17.323895,7135.514,2266.9768,82.105995,382.5077,0.0
41,2021-07-02 17:00:00,138.94,123.11,11251.47,455.93,16.925398,7034.766,2257.095,82.3533,419.84174,0.0
42,2021-07-02 18:00:00,144.33,122.35,11487.72,512.84,17.097113,7263.6763,2264.0518,81.56575,715.2684,0.0
43,2021-07-02 19:00:00,150.66,128.42,11439.51,617.42,17.045973,7905.508,2259.8267,83.585106,862.8054,12.4201
44,2021-07-02 20:00:00,156.93,136.63,11295.36,778.57,16.934658,8872.439,2262.511,83.86263,1060.2802,0.0
45,2021-07-02 21:00:00,160.17,147.56,11048.57,999.9,16.922222,10064.844,2255.803,83.42837,1122.7115,13.28115
46,2021-07-02 22:00:00,168.86,154.97,10574.2,1274.87,16.592285,11184.57,2260.4082,83.662895,1652.5814,15.43692
47,2021-07-02 23:00:00,168.74,160.71,9811.54,1574.92,16.971905,12083.762,2249.8738,81.2052,2355.9653,26.8808
48,2021-07-03 00:00:00,184.24,183.15,8360.76,1846.85,16.470524,14937.059,2245.747,86.643234,3123.9263,84.43276
