UTC time,carbon_intensity,avg_solar_production_forecast,avg_wind_production_forecast,avg_coal_production_forecast,avg_hydro_production_forecast,avg_biomass_production_forecast,avg_nat_gas_production_forecast,avg_unknown_production_forecast,avg_nuclear_production_forecast,avg_geothermal_production_forecast,avg_oil_production_forecast
2021-07-01 00:00:00+00:00,334.8,0,50066,59655.34,9439.076,19304.334,23148.8,1525.8751,26532.117,71.199425,1685.6051
2021-07-01 01:00:00+00:00,286.93,0,52459,57667.94,9403.94,19333.088,22577.281,1531.1498,26554.932,70.85777,1660.1202
2021-07-01 02:00:00+00:00,286.69,0,54904,57249.016,9342.172,19329.104,22933.71,1541.0149,26422.031,70.87704,1666.6533
2021-07-01 03:00:00+00:00,283.79,50,56938,58033.984,9420.805,19327.75,24476.031,1531.2114,26659.824,70.21178,1684.8147
2021-07-01 04:00:00+00:00,284.75,1419,59119,61139.164,9453.239,19357.178,26331.22,1541.9036,26723.281,69.69525,1686.955
2021-07-01 05:00:00+00:00,293.18,5224,61610,65451.25,9437.634,19350.553,27677.031,1517.2911,26661.309,66.9967,1685.9939
2021-07-01 06:00:00+00:00,291.67,11963,63818,68240.8,9472.531,19370.068,28679.652,1531.0472,26721.258,65.4929,1675.9456
2021-07-01 07:00:00+00:00,287.64,20023,64858,69495.43,9589.763,19412.584,29346.043,1504.8728,26704.828,64.84324,1691.8911
2021-07-01 08:00:00+00:00,281.87,28044,65436,68637.516,9581.611,19421.35,28878.1,1510.2675,26645.133,61.86822,1697.4559
2021-07-01 09:00:00+00:00,270.88,35779,65891,65671.99,9566.814,19365.766,27566.338,1499.7582,26520.973,59.651165,1709.5082
2021-07-01 10:00:00+00:00,265.52,42177,66164,61840.676,9497.05,19395.893,26659.295,1505.2239,26532.56,58.532944,1694.5942
2021-07-01 11:00:00+00:00,257.87,46708,66080,57982.277,9336.624,19361.223,25548.016,1504.4706,26519.146,56.91632,1700.7982
2021-07-01 12:00:00+00:00,257.46,48935,66289,55871.445,9351.927,19253.768,24839.068,1517.3169,26391.672,56.645866,1695.5013
2021-07-01 13:00:00+00:00,258.7,48213,65549,55755.137,9330.867,19368.113,24967.37,1498.2551,26329.227,56.127853,1697.5703
2021-07-01 14:00:00+00:00,266.11,44563,62755,56819.434,9388.353,19314.303,24916.326,1513.1804,26366.82,56.88861,1715.7273
2021-07-01 15:00:00+00:00,278.53,37723,59386,59593.824,9457.073,19460.428,26236.201,1528.4244,26483.943,56.719273,1702.5585
2021-07-01 16:00:00+00:00,299.78,28546,55018,63389.227,9523.683,19411.209,27145.938,1518.5984,26463.33,58.49131,1712.5427
2021-07-01 17:00:00+00:00,322.77,18463,49829,67214.695,9620.862,19434.816,27781.854,1502.4409,26404.865,60.23745,1687.969
2021-07-01 18:00:00+00:00,343.82,9100,44641,69178.2,9572.6875,19439.576,28487.027,1492.9855,26508.36,60.77859,1669.81
2021-07-01 19:00:00+00:00,359.44,2546,40902,70243.36,9496.866,19399.133,27841.064,1502.2924,26486.438,64.207184,1669.6184
2021-07-01 20:00:00+00:00,364.73,179,39155,68231.71,9654.565,19449.73,27423.857,1492.4921,26404.814,66.71309,1676.5535
2021-07-01 21:00:00+00:00,361.46,0,38217,64855.625,9700.836,19470.002,25215.209,1494.4567,26396.904,67.943275,1683.9723
2021-07-01 22:00:00+00:00,355.6,0,35529,59706.53,9547.656,19465.244,23268.84,1511.9552,26266.316,68.39759,1679.593
2021-07-01 23:00:00+00:00,350.77,0,29327,55481.473,9444.946,19363.059,21635.875,1513.9349,26245.275,70.65854,1679.8676
2021-07-02 00:00:00+00:00,359.56,0,28910,61479.586,9631.19,20478.645,27068.033,1501.7025,26684.941,74.20394,1644.1833
2021-07-02 01:00:00+00:00,349.85,0,27999,59126.555,9568.304,20494.775,26210.5,1506.4125,26703.32,75.40739,1620.653
2021-07-02 02:00:00+00:00,349.09,0,26808,58373.008,9514.496,20497.305,26301.664,1513.6063,26555.7,75.62231,1627.6189
2021-07-02 03:00:00+00:00,349.36,47,25612,59080.29,9579.284,20486.918,27374,1503.7301,26789.021,75.55927,1645.4541
2021-07-02 04:00:00+00:00,354.15,1623,24291,62087.496,9602.348,20524.625,28813.133,1515.4137,26859.35,75.181175,1648.2599
2021-07-02 05:00:00+00:00,356.01,7988,22205,66842.1,9675.678,20508.086,30166.227,1492.0226,26777.59,72.96557,1647.8153
2021-07-02 06:00:00+00:00,341.96,20456,20014,69943.34,9740.6455,20507.623,31253.244,1505.5312,26833.746,71.589,1638.5864
2021-07-02 07:00:00+00:00,319.46,37172,19130,71536.71,9863.082,20521.393,31997.066,1481.7101,26817.305,70.62023,1652.849
2021-07-02 08:00:00+00:00,294.55,54971,19172,71188.89,9858.877,20527.969,31757.893,1488.3604,26741.768,67.77315,1659.0615
2021-07-02 09:00:00+00:00,273.92,70082,19326,68225.63,9784.484,20491.668,30577.121,1479.5914,26627.188,66.131386,1671.6196
2021-07-02 10:00:00+00:00,257.73,81431,19442,64246.484,9741.506,20492.533,29607.592,1484.3108,26636.035,64.83573,1657.1371
2021-07-02 11:00:00+00:00,245.13,88559,19674,60132.832,9467.18,20470.006,28604.252,1482.327,26630.979,62.91259,1663.1166
2021-07-02 12:00:00+00:00,236.2,92048,20401,57946.68,9468.021,20363.709,27730.432,1493.4224,26496.678,62.281307,1657.4692
2021-07-02 13:00:00+00:00,233.93,91031,21473,57370.938,9476.992,20495.492,27742.771,1475.7705,26437.514,61.761005,1658.4174
2021-07-02 14:00:00+00:00,237.66,84999,21572,58368.797,9540.812,20443.69,27633.854,1489.0345,26485.652,61.263298,1676.1299
2021-07-02 15:00:00+00:00,249.33,73215,20906,61118.895,9559.999,20612.6,28746.352,1503.9215,26612.557,60.764942,1663.4568
2021-07-02 16:00:00+00:00,272.07,55899,18955,65018.285,9744.347,20578.893,29647.428,1493.9736,26588.465,62.748295,1671.7078
2021-07-02 17:00:00+00:00,302.83,34549,16039,69271.734,9877.722,20593.262,30399.46,1479.1692,26532.48,63.726883,1648.6814
2021-07-02 18:00:00+00:00,341.3,15304,12387,71389.02,9781.81,20544.309,31285.443,1469.888,26628.064,65.14683,1630.1167
2021-07-02 19:00:00+00:00,370.84,4481,9807,72849.29,9685.297,20500.379,30913.393,1478.0435,26604.45,67.321556,1630.6611
2021-07-02 20:00:00+00:00,375.96,321,9599,71118.35,9827.645,20515.832,30433.227,1468.9705,26543.14,70.17043,1637.7443
2021-07-02 21:00:00+00:00,376.17,0,10301,67793.59,9836.187,20510.547,28411.803,1471.9979,26533.584,71.68054,1644.4852
2021-07-02 22:00:00+00:00,372.74,0,12358,62598.62,9591.327,20478.693,26355.027,1487.713,26388.176,72.84043,1639.3495
2021-07-02 23:00:00+00:00,365.17,0,17489,58095.266,9472.414,20348.41,24759.514,1488.1857,26374.637,74.24226,1640.6107
2021-07-03 00:00:00+00:00,374.83,0,16628,61934.156,9276.818,20682.326,20649.434,1509.9978,26717.152,73.538704,1648.4686
2021-07-03 01:00:00+00:00,361.4,0,15556,59598.953,9226.088,20689.94,20207.643,1516.0577,26735.354,74.35613,1622.3018
2021-07-03 02:00:00+00:00,362.88,0,14488,58803.38,9194.621,20685.691,20588.594,1524.2496,26587.775,74.63921,1627.6667
2021-07-03 03:00:00+00:00,368.74,53,13511,59221.87,9247.507,20669.15,22223.695,1514.8151,26821.762,74.744804,1645.2449
2021-07-03 04:00:00+00:00,367.09,2845,12897,62131.08,9269.156,20701.852,24160.736,1527.0662,26891.475,74.60907,1646.8228
2021-07-03 05:00:00+00:00,343.68,12626,11722,66563.04,9336.14,20676.795,25456.766,1504.3918,26810.59,72.33976,1644.697
2021-07-03 06:00:00+00:00,307.25,33985,10596,69643.586,9389.125,20670.254,26425.592,1517.2048,26866.844,71.28479,1634.5344
2021-07-03 07:00:00+00:00,267.74,62092,10022,71286.78,9464.845,20692.852,27083.139,1493.5574,26850.338,70.63417,1649.5612
