UTC time,carbon_intensity,avg_wind_production_forecast,avg_solar_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_other_production_forecast,avg_nuclear_production_forecast,avg_coal_production_forecast,avg_oil_production_forecast
2021-07-01 00:00:00,297.41,439.374,4.361341,790.7189,13787.301,735.9735,3254.9985,103.81009,263.84205
2021-07-01 01:00:00,298.21,459.7606,0.8694184,558.9137,13045.885,732.3098,3273.9028,97.08704,212.92857
2021-07-01 02:00:00,294.98,464.48715,15.190227,438.41418,12299.445,733.4343,3262.0078,85.67411,158.84348
2021-07-01 03:00:00,287.48,462.01416,11.028534,364.4604,11134.798,729.9544,3260.7727,81.84596,108.01407
2021-07-01 04:00:00,277.62,455.55933,4.2077208,326.15067,10344.928,724.3926,3268.4993,79.23032,57.46869
2021-07-01 05:00:00,266.73,455.2796,0,299.91006,9332.538,724.72754,3276.6704,78.1337,22.77251
2021-07-01 06:00:00,263.64,449.60556,0,294.15237,8792.846,720.269,3260.0103,77.10797,0
2021-07-01 07:00:00,260.67,446.14194,2.1707034,281.9901,8033.024,722.71045,3260.4932,77.30097,0
2021-07-01 08:00:00,255.5,430.9575,6.158584,251.33618,8191.0703,717.11725,3275.628,84.73388,0
2021-07-01 09:00:00,253.47,406.44086,0.40959945,214.82925,8009.04,721.5908,3280.77,91.86485,0
2021-07-01 10:00:00,254.5,381.53983,2.2007453,243.2975,8437.165,717.3174,3243.6265,98.1418,20.64521
2021-07-01 11:00:00,263.58,349.7228,19.689749,312.07037,8832.986,715.16266,3254.6697,105.26926,53.36225
2021-07-01 12:00:00,271.17,320.7173,65.633064,343.17487,9577.702,713.6157,3279.3225,115.40615,84.6099
2021-07-01 13:00:00,279.93,284.51538,124.92875,322.00305,9879.5,712.90356,3272.9973,121.46604,122.93289
2021-07-01 14:00:00,283.27,251.93317,180.80528,311.2097,10766.771,710.048,3277.142,132.5141,157.60399
2021-07-01 15:00:00,285.75,229.29448,209.1413,296.1775,11253.47,709.3465,3263.4385,140.66148,188.09905
2021-07-01 16:00:00,289.1,208.98537,219.3408,361.56104,12153.579,711.0713,3274.6653,147.81415,199.43184
2021-07-01 17:00:00,290.78,188.86485,220.78693,451.48907,12833.7,708.3873,3261.5107,151.9966,208.88175
2021-07-01 18:00:00,292.25,159.77823,212.2224,643.5343,13375.957,709.56714,3266.9993,155.08614,204.15826
2021-07-01 19:00:00,292.63,146.6403,204.20734,900.76666,13173.766,715.5247,3255.816,153.25155,199.64913
2021-07-01 20:00:00,292.79,138.07878,190.82942,1134.8807,13470.656,712.49005,3250.4412,152.71513,194.4963
2021-07-01 21:00:00,291.5,133.81825,156.41888,1286.6218,13535.667,709.98584,3256.3591,147.8848,185.46085
2021-07-01 22:00:00,289.41,134.8262,93.646095,1282.1826,13406.4375,708.7143,3239.2488,140.50627,176.13643
2021-07-01 23:00:00,287.26,145.56035,48.20434,1071.383,13215.434,705.8645,3258.841,133.03969,157.13846
2021-07-02 00:00:00,281.53,108.883354,3.0558872,446.52515,11182.494,717.5679,3251.6091,86.35434,5.23515
2021-07-02 01:00:00,282.47,149.38528,4.11908,400.67017,10498.332,715.0889,3270.4504,80.91153,6.11019
2021-07-02 02:00:00,280.29,183.15608,6.36292,333.20782,9756.04,717.0164,3258.5735,71.84797,5.48556
2021-07-02 03:00:00,267.44,212.5811,4.456193,257.14996,8686.932,713.4884,3257.3406,69.61283,3.4619
2021-07-02 04:00:00,256.73,243.04666,10.65498,213.08894,8060.8647,706.571,3265.0679,68.48365,4.05491
2021-07-02 05:00:00,246.88,272.14862,1.8480655,180.23012,7076.455,707.2899,3273.2283,68.93874,5.82651
