,UTC time,carbon_intensity,carbon_from_src_forecasts,avg_wind_production_forecast,avg_solar_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_other_production_forecast,avg_nuclear_production_forecast,avg_coal_production_forecast,avg_oil_production_forecast
0,2021-07-01 00:00:00,297.41,294.65,439.374,4.361341,790.7189,13787.301,735.9735,3254.9985,103.81009,263.84205
1,2021-07-01 01:00:00,298.21,294.22,459.7606,0.8694184,558.9137,13045.885,732.3098,3273.9028,97.08704,212.92857
2,2021-07-01 02:00:00,294.98,292.26,464.48715,15.190227,438.41418,12299.445,733.4343,3262.0078,85.67411,158.84348
3,2021-07-01 03:00:00,287.48,287.61,462.01416,11.028534,364.4604,11134.798,729.9544,3260.7727,81.84596,108.01407
4,2021-07-01 04:00:00,277.62,283.59,455.55933,4.2077208,326.15067,10344.928,724.3926,3268.4993,79.23032,57.46869
5,2021-07-01 05:00:00,266.73,277.55,455.2796,0.0,299.91006,9332.538,724.72754,3276.6704,78.1337,22.77251
6,2021-07-01 06:00:00,263.64,274.1,449.60556,0.0,294.15237,8792.846,720.269,3260.0103,77.10797,0.0
7,2021-07-01 07:00:00,260.67,268.76,446.14194,2.1707034,281.9901,8033.024,722.71045,3260.4932,77.30097,0.0
8,2021-07-01 08:00:00,255.5,270.7,430.9575,6.158584,251.33618,8191.0703,717.11725,3275.628,84.73388,0.0
9,2021-07-01 09:00:00,253.47,270.97,406.44086,0.40959945,214.82925,8009.04,721.5908,3280.77,91.86485,0.0
10,2021-07-01 10:00:00,254.5,275.2,381.53983,2.2007453,243.2975,8437.165,717.3174,3243.6265,98.1418,20.64521
11,2021-07-01 11:00:00,263.58,277.15,349.7228,19.689749,312.07037,8832.986,715.16266,3254.6697,105.26926,53.36225
12,2021-07-01 12:00:00,271.17,281.11,320.7173,65.633064,343.17487,9577.702,713.6157,3279.3225,115.40615,84.6099
