,UTC time,carbon_intensity,carbon_from_src_forecasts,avg_solar_production_forecast,avg_wind_production_forecast,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_other_production_forecast
0,2021-07-01 00:00:00,368.18,367.39,3468.6055,5186.991,12548.26648,36475.07,4983.6357,62.890484,58.286453
1,2021-07-01 01:00:00,383.42,373.07,1906.6588,5473.697,12221.53686,34705.758,5001.623,55.05858,86.4505
2,2021-07-01 02:00:00,398.95,375.64,503.363,5750.2534,11509.33212,32189.018,4993.0435,46.793716,0.0
3,2021-07-01 03:00:00,395.58,377.57,0.0,5642.5977,11100.98535,29947.906,4980.693,35.99502,31.299356
4,2021-07-01 04:00:00,386.73,370.93,0.0,5951.3384,10482.03952,27960.559,4963.0356,31.664005,40.106552
5,2021-07-01 05:00:00,380.36,368.98,0.0,5891.6587,10167.39857,25685.139,4953.2256,20.582598,35.96095
6,2021-07-01 06:00:00,365.67,362.96,0.0,5546.6855,9185.59531,23708.277,4958.552,17.054663,24.864723
7,2021-07-01 07:00:00,357.2,358.05,0.0,5503.4805,8653.07053,22227.326,4964.637,15.750292,45.878696
8,2021-07-01 08:00:00,357.62,358.97,0.0,4838.6245,8179.61539,21173.227,4961.562,15.05239,44.82473
9,2021-07-01 09:00:00,360.02,359.72,0.0,4650.6587,8079.26254,21126.338,4956.552,18.77111,53.741947
10,2021-07-01 10:00:00,363.76,369.19,0.0,4014.3577,8452.37395,21607.363,4961.866,18.605099,0.0
11,2021-07-01 11:00:00,368.47,374.04,0.0,3934.4136,8866.03119,21990.94,4962.092,20.396317,10.973371
12,2021-07-01 12:00:00,378.09,387.62,31.511728,3319.2021,9741.90594,22780.92,4983.4424,18.24973,59.849426
13,2021-07-01 13:00:00,375.3,388.45,553.78265,3254.2957,10367.4195,23665.453,4987.745,18.091982,45.197903
14,2021-07-01 14:00:00,365.85,386.9,1833.2809,2651.4177,10943.49298,25138.29,4992.1816,16.557213,78.217865
15,2021-07-01 15:00:00,361.68,377.63,3438.6135,2530.314,11318.0076,27282.553,4943.7495,36.271324,75.66352
16,2021-07-01 16:00:00,363.2,375.3,4404.059,2185.6794,11705.42757,30020.705,4974.37,56.313206,87.2132
17,2021-07-01 17:00:00,365.92,372.56,4742.6123,2448.538,11924.89352,32426.92,4971.096,73.03193,104.069984
18,2021-07-01 18:00:00,367.98,373.48,4764.216,2305.863,11979.8321,34985.15,4964.371,96.858055,109.39763
19,2021-07-01 19:00:00,372.24,370.34,4832.797,2675.0083,11946.24761,36727.742,4977.6636,110.86099,110.09813
20,2021-07-01 20:00:00,373.12,373.59,4598.7,2684.4263,12281.86658,38145.43,4979.406,111.652885,69.13368
21,2021-07-01 21:00:00,369.5,371.47,4624.604,3103.753,12358.86085,38874.914,4986.5654,111.42372,97.65435
22,2021-07-01 22:00:00,366.83,370.02,4450.753,3609.2075,12406.12947,38338.844,4976.286,88.38185,92.759514
23,2021-07-01 23:00:00,366.12,367.93,4191.4653,4104.6885,12269.71827,36885.97,4950.395,85.82857,88.81793
24,2021-07-02 00:00:00,361.2,365.82,3924.5764,4577.739,12107.21152,40040.09,4975.1206,59.12827,58.286453
25,2021-07-02 01:00:00,362.17,373.34,1940.8044,4968.2935,11827.10574,38239.6,4993.123,51.27616,86.4505
26,2021-07-02 02:00:00,376.78,375.62,367.84518,5553.154,11211.92543,35510.945,4984.5063,36.06879,0.0
27,2021-07-02 03:00:00,379.6,376.13,0.0,5556.144,10859.29251,32928.207,4972.5337,34.429493,31.299356
28,2021-07-02 04:00:00,377.7,368.79,0.0,6081.4473,10302.67387,30336.371,4954.7524,14.965268,40.106552
29,2021-07-02 05:00:00,375.49,365.56,0.0,6178.746,9983.68297,27888.1,4945.2603,7.1243386,35.96095
30,2021-07-02 06:00:00,362.97,358.72,0.0,5989.999,9064.81589,25225.312,4950.751,8.104718,24.864723
31,2021-07-02 07:00:00,362.06,353.29,0.0,5985.868,8514.38121,23590.41,4956.584,4.03153,45.878696
32,2021-07-02 08:00:00,366.66,353.53,0.0,5383.5015,8057.45171,22557.896,4953.685,5.326857,44.82473
33,2021-07-02 09:00:00,367.18,354.33,48.818684,5068.063,7905.62271,22371.125,4948.6025,8.047859,53.741947
34,2021-07-02 10:00:00,368.59,361.68,0.0,4559.4966,8177.70492,22489.363,4954.2334,9.259144,0.0
35,2021-07-02 11:00:00,372.03,365.02,0.0,4522.174,8473.12536,23152.254,4954.56,14.506939,10.973371
36,2021-07-02 12:00:00,375.59,376.26,0.0,3943.918,9118.65295,23614.469,4975.74,19.053045,59.849426
37,2021-07-02 13:00:00,376.63,375.8,747.5968,3704.1409,9598.22609,24547.807,4980.146,26.049885,45.197903
38,2021-07-02 14:00:00,370.27,371.89,2427.2717,3041.5671,10138.95475,26067.484,4984.2207,38.509037,78.217865
39,2021-07-02 15:00:00,372.31,363.01,4182.1636,2934.2344,10541.44873,28292.248,4936.256,63.958363,75.66352
40,2021-07-02 16:00:00,376.43,363.87,5046.994,2498.9146,11056.00116,30713.59,4966.831,92.05017,87.2132
41,2021-07-02 17:00:00,378.08,363.45,5419.9253,2672.73,11454.63139,33505.887,4963.458,106.37682,104.069984
42,2021-07-02 18:00:00,377.77,365.69,5465.3735,2505.7595,11643.60974,36088.074,4956.9175,115.21208,109.39763
43,2021-07-02 19:00:00,369.55,364.63,5512.1484,2752.022,11736.69465,38002.992,4970.3975,114.29309,110.09813
44,2021-07-02 20:00:00,365.71,366.63,5437.384,2808.9536,12035.82379,39875.387,4971.8525,100.54119,69.13368
45,2021-07-02 21:00:00,360.6,364.9,5429.831,3238.686,12110.59467,40762.21,4979.128,91.937195,97.65435
46,2021-07-02 22:00:00,362.27,364.28,5230.2896,3508.0361,12054.18833,40595.918,4968.699,79.07911,92.759514
47,2021-07-02 23:00:00,361.59,362.07,5017.586,3948.1118,11892.70803,39344.008,4943.4517,75.40911,88.81793
48,2021-07-03 00:00:00,366.25,363.21,3636.5984,5336.6123,12079.62717,36650.742,4873.1943,68.34821,58.286453
49,2021-07-03 01:00:00,378.75,371.72,1824.093,5457.0283,11811.13227,34976.19,4891.5234,50.7886,86.4505
50,2021-07-03 02:00:00,382.65,373.9,354.86935,5954.047,11198.88538,32581.217,4882.3496,32.500824,0.0
51,2021-07-03 03:00:00,380.42,374.44,0.0,5839.432,10769.91488,30507.797,4875.038,30.75199,31.299356
52,2021-07-03 04:00:00,379.83,366.52,0.0,6330.986,10154.80474,28772.633,4856.4014,10.549728,40.106552
53,2021-07-03 05:00:00,381.84,364.76,0.0,6105.9277,9745.63217,26597.13,4850.959,5.3097916,35.96095
54,2021-07-03 06:00:00,381.21,358.64,0.0,5796.0557,8804.71501,24820.092,4858.241,0.0,24.864723
55,2021-07-03 07:00:00,384.42,352.25,0.0,5887.687,8242.47861,23382.555,4860.5796,0.0,45.878696
56,2021-07-03 08:00:00,389.1,354.21,0.0,5115.3115,7815.64381,22277.143,4859.829,0.0,44.82473
57,2021-07-03 09:00:00,391.21,355.56,0.0,4893.78,7748.76424,22166.441,4854.004,0.0,53.741947
58,2021-07-03 10:00:00,397.79,364.26,0.0,4292.9673,8106.77603,22653.377,4863.6406,7.63691,0.0
59,2021-07-03 11:00:00,403.89,364.46,0.0,4670.333,8482.46374,22855.9,4865.137,24.285275,10.973371
60,2021-07-03 12:00:00,406.98,376.91,3.7110026,3954.649,9142.70682,23687.219,4884.1416,47.099716,59.849426
61,2021-07-03 13:00:00,412.41,375.45,778.14435,3757.9924,9592.27788,24518.943,4889.7056,67.37444,45.197903
62,2021-07-03 14:00:00,408.83,370.48,2358.1494,3302.766,10111.28059,25907.562,4888.949,90.36916,78.217865
63,2021-07-03 15:00:00,401.14,361.33,4149.3633,3146.8704,10463.6869,27979.7,4847.6094,116.62429,75.66352
64,2021-07-03 16:00:00,395.09,361.87,5057.136,2732.559,10962.17605,30776.36,4876.975,136.26508,87.2132
65,2021-07-03 17:00:00,387.0,361.52,5415.3843,2943.4343,11370.7284,33007.336,4872.8926,137.55978,104.069984
66,2021-07-03 18:00:00,383.21,364.23,5417.209,2789.4658,11585.16804,35597.76,4868.717,140.22273,109.39763
67,2021-07-03 19:00:00,380.64,365.79,5392.3496,2687.3816,11696.60978,37359.426,4884.3394,133.85881,110.09813
68,2021-07-03 20:00:00,377.67,367.88,5266.8228,2760.4768,11978.95649,38716.703,4882.3296,119.83344,69.13368
69,2021-07-03 21:00:00,376.41,366.09,5271.7876,3205.647,12080.94479,39480.574,4890.7515,108.74619,97.65435
70,2021-07-03 22:00:00,377.01,366.96,5073.0986,3219.2046,12039.63702,38843.88,4878.9214,98.591484,92.759514
71,2021-07-03 23:00:00,378.98,366.08,4774.5933,3551.4915,11919.91071,37338.7,4861.54,89.88536,88.81793
72,2021-07-04 00:00:00,372.43,374.86,3164.6155,4463.3774,12707.90156,30147.473,4976.2573,92.18555,58.286453
73,2021-07-04 01:00:00,382.62,378.8,1727.894,5052.099,12393.389,28813.473,4976.573,90.168724,86.4505
74,2021-07-04 02:00:00,388.78,380.03,467.38538,5552.281,11784.99603,26910.373,4974.205,79.622696,0.0
75,2021-07-04 03:00:00,386.98,381.78,0.0,5525.561,11445.32178,25314.238,4969.139,78.06452,31.299356
76,2021-07-04 04:00:00,386.08,373.34,0.0,5966.548,10805.83081,23761.545,4965.266,68.45893,40.106552
77,2021-07-04 05:00:00,387.59,369.25,0.0,6101.708,10460.44197,22002.102,4970.544,61.949524,35.96095
78,2021-07-04 06:00:00,382.82,362.07,0.0,5744.335,9370.7057,20471.12,4956.2275,60.856537,24.864723
79,2021-07-04 07:00:00,385.47,355.7,0.0,5800.157,8808.62927,19248.787,4948.4297,65.7961,45.878696
80,2021-07-04 08:00:00,394.12,356.18,0.0,5204.906,8354.0726,18337.346,4937.6113,68.253845,44.82473
81,2021-07-04 09:00:00,397.17,357.51,0.0,4871.3975,8174.80939,18299.906,4943.3916,60.25029,53.741947
82,2021-07-04 10:00:00,401.56,365.74,0.0,4270.7134,8411.17283,18920.271,4959.871,56.85695,0.0
83,2021-07-04 11:00:00,402.51,370.18,0.0,4085.2192,8650.14764,19501.217,4943.2134,77.661766,10.973371
84,2021-07-04 12:00:00,406.51,379.09,132.35336,3534.5269,9143.30178,20610.775,4964.495,92.14458,59.849426
85,2021-07-04 13:00:00,401.34,379.06,526.4062,3487.761,9516.97798,21577.004,4961.4365,96.40798,45.197903
86,2021-07-04 14:00:00,387.23,380.05,1660.9613,2683.8367,9996.13788,23241.355,4969.7544,104.50554,78.217865
87,2021-07-04 15:00:00,373.98,371.82,3171.3145,2580.54,10444.38641,25378.857,4947.7915,122.03438,75.66352
88,2021-07-04 16:00:00,369.83,372.2,4057.2168,2225.089,11027.4107,27986.752,4960.149,129.36996,87.2132
89,2021-07-04 17:00:00,374.34,371.89,4413.0205,2533.574,11630.72474,30231.273,4968.8013,125.083015,104.069984
90,2021-07-04 18:00:00,375.69,374.48,4449.634,2387.5361,11897.73504,32545.117,4954.125,126.74036,109.39763
91,2021-07-04 19:00:00,374.98,372.41,4517.0527,2855.4019,12113.34075,34272.965,4956.6147,116.768684,110.09813
92,2021-07-04 20:00:00,370.71,374.44,4323.866,3077.5845,12498.23634,35470.543,4966.28,118.81034,69.13368
93,2021-07-04 21:00:00,363.41,372.93,4291.3286,3454.882,12582.18915,36091.62,4968.837,114.33778,97.65435
94,2021-07-04 22:00:00,355.73,369.55,4093.8677,4102.953,12476.52724,35848.395,4967.9976,111.73499,92.759514
95,2021-07-04 23:00:00,349.02,366.21,3897.6084,4674.4785,12297.1167,34778.992,4944.604,117.2168,88.81793
96,2021-07-05 00:00:00,337.18,351.42,3847.7146,7174.268,12460.03879,29439.318,4968.2188,89.32483,58.286453
97,2021-07-05 01:00:00,327.86,358.68,1954.1368,7611.991,12217.36371,28196.504,4964.538,81.43816,86.4505
98,2021-07-05 02:00:00,342.87,362.47,402.90067,7881.4634,11638.55958,26414.482,4964.0034,64.168015,0.0
99,2021-07-05 03:00:00,345.82,365.21,0.0,7645.545,11393.47518,24920.719,4960.2515,55.89899,31.299356
100,2021-07-05 04:00:00,342.8,357.94,0.0,7945.5376,10797.4845,23435.879,4956.3457,40.02458,40.106552
101,2021-07-05 05:00:00,340.57,357.87,0.0,7588.14,10519.3334,21772.186,4963.8013,27.731335,35.96095
102,2021-07-05 06:00:00,345.59,352.06,0.0,7009.84,9430.81372,20296.068,4946.327,21.02181,24.864723
103,2021-07-05 07:00:00,351.99,346.22,0.0,6961.9707,8843.59242,19133.336,4937.771,13.47286,45.878696
104,2021-07-05 08:00:00,363.07,347.32,0.0,6245.7744,8381.65976,18261.797,4925.412,9.162463,44.82473
105,2021-07-05 09:00:00,367.62,350.44,17.563677,5672.5444,8193.34162,18208.602,4932.666,3.8364685,53.741947
106,2021-07-05 10:00:00,376.67,359.25,0.0,5016.195,8430.71888,18802.395,4950.738,0.0,0.0
107,2021-07-05 11:00:00,382.81,362.0,0.0,5051.277,8709.98062,19339.012,4930.8525,28.312828,10.973371
108,2021-07-05 12:00:00,389.1,373.73,0.0,4410.1113,9272.62746,20385.154,4952.65,50.038967,59.849426
109,2021-07-05 13:00:00,390.98,370.72,830.73035,4298.8643,9683.99536,21300.518,4948.3926,74.28315,45.197903
110,2021-07-05 14:00:00,392.55,367.96,2433.8147,3503.9773,10160.80137,22853.555,4959.384,99.18038,78.217865
111,2021-07-05 15:00:00,385.62,359.11,4152.383,3378.4565,10566.25191,24876.795,4938.823,125.12733,75.66352
112,2021-07-05 16:00:00,376.4,359.67,5043.531,3047.5168,11094.61546,27367.926,4950.1045,145.28937,87.2132
113,2021-07-05 17:00:00,372.27,360.45,5408.996,3230.8171,11638.94897,29514.748,4958.807,147.37001,104.069984
114,2021-07-05 18:00:00,370.72,363.45,5427.4893,3074.0933,11866.19293,31727.482,4941.957,138.15553,109.39763
115,2021-07-05 19:00:00,370.8,364.1,5434.601,3148.1707,11996.01815,33378.727,4943.017,123.36632,110.09813
116,2021-07-05 20:00:00,363.21,364.71,5318.0195,3557.7397,12371.59501,34522.76,4954.2314,120.12984,69.13368
117,2021-07-05 21:00:00,356.01,363.54,5283.583,3947.4045,12486.30763,35084.5,4957.135,109.176315,97.65435
118,2021-07-05 22:00:00,352.5,361.93,5040.0645,4342.0483,12372.45377,34816.438,4956.133,101.31757,92.759514
119,2021-07-05 23:00:00,346.39,359.92,4779.0215,4806.743,12257.42893,33760.58,4933.3794,105.02786,88.81793
120,2021-07-06 00:00:00,345.77,350.1,3726.887,6719.6035,11685.67384,31495.74,4973.5103,89.94334,58.286453
121,2021-07-06 01:00:00,355.81,354.32,2360.5867,7070.13,11456.56151,30105.734,4992.0312,80.61217,86.4505
122,2021-07-06 02:00:00,373.56,357.74,907.57855,7179.5444,10818.887,28213.566,4983.1655,61.991787,0.0
123,2021-07-06 03:00:00,378.38,361.8,0.0,7022.41,10381.90978,26573.129,4971.3955,53.0266,31.299356
124,2021-07-06 04:00:00,377.73,354.93,0.0,7244.91,9762.94781,25141.598,4953.0674,36.296627,40.106552
125,2021-07-06 05:00:00,381.73,355.13,0.0,6752.7197,9398.29567,23494.469,4943.364,24.907196,35.96095
126,2021-07-06 06:00:00,383.32,349.84,0.0,6285.9834,8496.64391,22132.416,4949.4106,17.867876,24.864723
127,2021-07-06 07:00:00,385.29,345.63,0.0,6130.0063,8000.0084,20919.975,4955.579,11.0227785,45.878696
128,2021-07-06 08:00:00,389.59,346.56,0.0,5518.683,7630.47272,19889.523,4952.888,6.302978,44.82473
129,2021-07-06 09:00:00,394.17,350.4,0.0,5069.8438,7600.54851,19677.645,4947.384,2.420927,53.741947
130,2021-07-06 10:00:00,401.71,360.41,0.0,4429.694,7979.14929,20134.09,4953.007,0.0,0.0
131,2021-07-06 11:00:00,412.06,362.18,0.0,4624.4775,8337.30982,20440.139,4953.7437,27.068031,10.973371
132,2021-07-06 12:00:00,414.9,374.59,89.602196,3926.5933,9009.10906,21293.633,4974.8438,49.69007,59.849426
133,2021-07-06 13:00:00,412.47,377.09,258.83356,3893.2798,9453.03569,22176.531,4979.532,74.23408,45.197903
134,2021-07-06 14:00:00,400.99,377.81,1251.2845,3234.8972,9899.85856,23539.404,4983.4565,99.15446,78.217865
135,2021-07-06 15:00:00,397.22,366.71,2975.3884,3169.4258,10194.82366,25403.95,4935.0747,124.98488,75.66352
136,2021-07-06 16:00:00,387.54,363.49,4152.8784,2896.7927,10644.23264,27793.092,4965.9087,143.80429,87.2132
137,2021-07-06 17:00:00,376.96,363.4,4523.312,3025.2446,11046.59683,29775.217,4961.8994,146.34727,104.069984
138,2021-07-06 18:00:00,370.65,366.49,4608.0396,2802.0115,11302.96376,31710.643,4956.057,136.86595,109.39763
139,2021-07-06 19:00:00,363.83,366.39,4654.7515,2876.836,11390.43091,32956.613,4969.794,123.01748,110.09813
140,2021-07-06 20:00:00,358.58,368.96,4415.0327,3042.6018,11713.64057,33982.277,4970.797,120.7842,69.13368
141,2021-07-06 21:00:00,357.65,367.32,4413.678,3435.1182,11815.24509,34497.64,4978.781,109.89989,97.65435
142,2021-07-06 22:00:00,358.61,366.01,4289.2036,3777.3853,11808.4367,34106.688,4967.5317,102.39637,92.759514
143,2021-07-06 23:00:00,360.37,364.95,4043.6304,4117.5107,11734.3134,32953.85,4942.96,105.69467,88.81793
144,2021-07-07 00:00:00,360.77,358.38,4015.615,5299.8125,11784.56034,35415.684,4980.2964,94.70086,58.286453
145,2021-07-07 01:00:00,374.61,367.33,2349.0317,5228.8394,11568.85359,33889.09,4998.7427,85.11907,86.4505
146,2021-07-07 02:00:00,394.54,372.97,731.71106,5319.6885,10946.77579,31748.586,4989.9385,65.12813,0.0
147,2021-07-07 03:00:00,398.38,377.55,0.0,5062.0225,10540.9141,29749.318,4977.8516,59.61663,31.299356
148,2021-07-07 04:00:00,400.95,372.5,0.0,5170.8804,9934.57614,27971.197,4959.6523,38.14356,40.106552
