,UTC time,carbon_intensity,carbon_from_src_forecasts,avg_solar_production_forecast,avg_wind_production_forecast,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_other_production_forecast
0,2021-07-01 00:00:00,368.18,358.87,3468.6055,5186.991,11214.774,36475.07,4983.6357,62.890484,58.286453
1,2021-07-01 01:00:00,383.42,367.7,1906.6588,5473.697,11408.202,34705.758,5001.623,55.05858,86.4505
2,2021-07-01 02:00:00,398.95,378.02,503.363,5750.2534,11851.864,32189.018,4993.0435,46.793716,0.0
3,2021-07-01 03:00:00,395.58,382.76,0.0,5642.5977,11812.256,29947.906,4980.693,35.99502,31.299356
4,2021-07-01 04:00:00,386.73,376.98,0.0,5951.3384,11262.323,27960.559,4963.0356,31.664005,40.106552
5,2021-07-01 05:00:00,380.36,371.0,0.0,5891.6587,10409.904,25685.139,4953.2256,20.582598,35.96095
6,2021-07-01 06:00:00,365.67,368.1,0.0,5546.6855,9754.936,23708.277,4958.552,17.054663,24.864723
7,2021-07-01 07:00:00,357.2,364.9,0.0,5503.4805,9370.974,22227.326,4964.637,15.750292,45.878696
8,2021-07-01 08:00:00,357.62,365.84,0.0,4838.6245,8863.271,21173.227,4961.562,15.05239,44.82473
9,2021-07-01 09:00:00,360.02,368.42,0.0,4650.6587,8943.318,21126.338,4956.552,18.77111,53.741947
10,2021-07-01 10:00:00,363.76,375.87,0.0,4014.3577,9131.684,21607.363,4961.866,18.605099,0.0
11,2021-07-01 11:00:00,368.47,380.37,0.0,3934.4136,9529.399,21990.94,4962.092,20.396317,10.973371
12,2021-07-01 12:00:00,378.09,387.63,31.511728,3319.2021,9743.639,22780.92,4983.4424,18.24973,59.849426
13,2021-07-01 13:00:00,375.3,387.28,553.78265,3254.2957,10232.556,23665.453,4987.745,18.091982,45.197903
14,2021-07-01 14:00:00,365.85,383.78,1833.2809,2651.4177,10565.498,25138.29,4992.1816,16.557213,78.217865
15,2021-07-01 15:00:00,361.68,375.04,3438.6135,2530.314,10984.194,27282.553,4943.7495,36.271324,75.66352
16,2021-07-01 16:00:00,363.2,370.22,4404.059,2185.6794,11008.319,30020.705,4974.37,56.313206,87.2132
17,2021-07-01 17:00:00,365.92,371.95,4742.6123,2448.538,11836.514,32426.92,4971.096,73.03193,104.069984
18,2021-07-01 18:00:00,367.98,376.93,4764.216,2305.863,12512.782,34985.15,4964.371,96.858055,109.39763
19,2021-07-01 19:00:00,372.24,376.66,4832.797,2675.0083,12957.768,36727.742,4977.6636,110.86099,110.09813
20,2021-07-01 20:00:00,373.12,377.5,4598.7,2684.4263,12924.098,38145.43,4979.406,111.652885,69.13368
21,2021-07-01 21:00:00,369.5,377.03,4624.604,3103.753,13291.293,38874.914,4986.5654,111.42372,97.65435
22,2021-07-01 22:00:00,366.83,374.48,4450.753,3609.2075,13145.428,38338.844,4976.286,88.38185,92.759514
23,2021-07-01 23:00:00,366.12,370.68,4191.4653,4104.6885,12712.05,36885.97,4950.395,85.82857,88.81793
24,2021-07-02 00:00:00,361.2,357.77,3924.5764,4577.739,10792.193,40040.09,4975.1206,59.12827,58.286453
25,2021-07-02 01:00:00,362.17,367.88,1940.8044,4968.2935,10962.176,38239.6,4993.123,51.27616,86.4505
26,2021-07-02 02:00:00,376.78,376.82,367.84518,5553.154,11392.142,35510.945,4984.5063,36.06879,0.0
27,2021-07-02 03:00:00,379.6,379.81,0.0,5556.144,11385.7705,32928.207,4972.5337,34.429493,31.299356
28,2021-07-02 04:00:00,377.7,373.27,0.0,6081.4473,10901.724,30336.371,4954.7524,14.965268,40.106552
29,2021-07-02 05:00:00,375.49,366.52,0.0,6178.746,10102.613,27888.1,4945.2603,7.1243386,35.96095
30,2021-07-02 06:00:00,362.97,361.85,0.0,5989.999,9421.058,25225.312,4950.751,8.104718,24.864723
31,2021-07-02 07:00:00,362.06,357.76,0.0,5985.868,8993.182,23590.41,4956.584,4.03153,45.878696
32,2021-07-02 08:00:00,366.66,357.31,0.0,5383.5015,8442.218,22557.896,4953.685,5.326857,44.82473
33,2021-07-02 09:00:00,367.18,359.52,48.818684,5068.063,8428.959,22371.125,4948.6025,8.047859,53.741947
34,2021-07-02 10:00:00,368.59,365.1,0.0,4559.4966,8525.425,22489.363,4954.2334,9.259144,0.0
35,2021-07-02 11:00:00,372.03,368.67,0.0,4522.174,8857.48,23152.254,4954.56,14.506939,10.973371
36,2021-07-02 12:00:00,375.59,375.54,0.0,3943.918,9040.414,23614.469,4975.74,19.053045,59.849426
37,2021-07-02 13:00:00,376.63,374.52,747.5968,3704.1409,9453.008,24547.807,4980.146,26.049885,45.197903
38,2021-07-02 14:00:00,370.27,368.91,2427.2717,3041.5671,9782.587,26067.484,4984.2207,38.509037,78.217865
39,2021-07-02 15:00:00,372.31,360.58,4182.1636,2934.2344,10230.214,28292.248,4936.256,63.958363,75.66352
40,2021-07-02 16:00:00,376.43,359.19,5046.994,2498.9146,10420.086,30713.59,4966.831,92.05017,87.2132
41,2021-07-02 17:00:00,378.08,362.55,5419.9253,2672.73,11322.888,33505.887,4963.458,106.37682,104.069984
42,2021-07-02 18:00:00,377.77,368.48,5465.3735,2505.7595,12077.443,36088.074,4956.9175,115.21208,109.39763
43,2021-07-02 19:00:00,369.55,369.65,5512.1484,2752.022,12549.41,38002.992,4970.3975,114.29309,110.09813
44,2021-07-02 20:00:00,365.71,370.13,5437.384,2808.9536,12621.896,39875.387,4971.8525,100.54119,69.13368
45,2021-07-02 21:00:00,360.6,369.78,5429.831,3238.686,12945.429,40762.21,4979.128,91.937195,97.65435
46,2021-07-02 22:00:00,362.27,368.52,5230.2896,3508.0361,12774.627,40595.918,4968.699,79.07911,92.759514
47,2021-07-02 23:00:00,361.59,364.89,5017.586,3948.1118,12359.369,39344.008,4943.4517,75.40911,88.81793
48,2021-07-03 00:00:00,366.25,354.63,3636.5984,5336.6123,10752.159,36650.742,4873.1943,68.34821,58.286453
49,2021-07-03 01:00:00,378.75,365.6,1824.093,5457.0283,10894.453,34976.19,4891.5234,50.7886,86.4505
50,2021-07-03 02:00:00,382.65,374.36,354.86935,5954.047,11264.377,32581.217,4882.3496,32.500824,0.0
51,2021-07-03 03:00:00,380.42,377.71,0.0,5839.432,11215.204,30507.797,4875.038,30.75199,31.299356
52,2021-07-03 04:00:00,379.83,370.4,0.0,6330.986,10654.939,28772.633,4856.4014,10.549728,40.106552
53,2021-07-03 05:00:00,381.84,365.08,0.0,6105.9277,9783.06,26597.13,4850.959,5.3097916,35.96095
54,2021-07-03 06:00:00,381.21,360.91,0.0,5796.0557,9055.822,24820.092,4858.241,0.0,24.864723
55,2021-07-03 07:00:00,384.42,355.92,0.0,5887.687,8628.079,23382.555,4860.5796,0.0,45.878696
56,2021-07-03 08:00:00,389.1,357.21,0.0,5115.3115,8114.6685,22277.143,4859.829,0.0,44.82473
57,2021-07-03 09:00:00,391.21,359.74,0.0,4893.78,8163.612,22166.441,4854.004,0.0,53.741947
58,2021-07-03 10:00:00,397.79,366.46,0.0,4292.9673,8329.526,22653.377,4863.6406,7.63691,0.0
59,2021-07-03 11:00:00,403.89,367.34,0.0,4670.333,8782.398,22855.9,4865.137,24.285275,10.973371
60,2021-07-03 12:00:00,406.98,375.99,3.7110026,3954.649,9042.603,23687.219,4884.1416,47.099716,59.849426
61,2021-07-03 13:00:00,412.41,374.43,778.14435,3757.9924,9476.941,24518.943,4889.7056,67.37444,45.197903
62,2021-07-03 14:00:00,408.83,367.81,2358.1494,3302.766,9792.986,25907.562,4888.949,90.36916,78.217865
63,2021-07-03 15:00:00,401.14,359.24,4149.3633,3146.8704,10198.7705,27979.7,4847.6094,116.62429,75.66352
64,2021-07-03 16:00:00,395.09,357.18,5057.136,2732.559,10325.869,30776.36,4876.975,136.26508,87.2132
65,2021-07-03 17:00:00,387.0,360.26,5415.3843,2943.4343,11188.3125,33007.336,4872.8926,137.55978,104.069984
66,2021-07-03 18:00:00,383.21,366.57,5417.209,2789.4658,11944.528,35597.76,4868.717,140.22273,109.39763
67,2021-07-03 19:00:00,380.64,370.48,5392.3496,2687.3816,12445.671,37359.426,4884.3394,133.85881,110.09813
68,2021-07-03 20:00:00,377.67,371.37,5266.8228,2760.4768,12550.522,38716.703,4882.3296,119.83344,69.13368
69,2021-07-03 21:00:00,376.41,370.9,5271.7876,3205.647,12886.901,39480.574,4890.7515,108.74619,97.65435
70,2021-07-03 22:00:00,377.01,371.22,5073.0986,3219.2046,12744.092,38843.88,4878.9214,98.591484,92.759514
71,2021-07-03 23:00:00,378.98,368.58,4774.5933,3551.4915,12321.075,37338.7,4861.54,89.88536,88.81793
72,2021-07-04 00:00:00,372.43,367.39,3164.6155,4463.3774,11649.917,30147.473,4976.2573,92.18555,58.286453
