,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,other,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_solar_production_forecast,avg_wind_production_forecast,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_other_production_forecast
0,2020-01-01 00:00:00,363.03,8284,22209,5117,66,109,4209,28,5.80680030289775,285.692038450725,278.638589196137,190.77613755666,1.23205984430886,167.93787,15455.491,7283.762,13269.718,3933.0425,35.86076,8.790857
1,2020-01-01 01:00:00,362.72,8988,22324,5116,66,0,5125,24,5.85315310949737,285.034749850364,279.04490029709,0,0.68759402919838,32.01657,14522.63,7397.5854,12820.691,3883.1448,46.7813,8.921504
2,2020-01-01 02:00:00,325.89,7285,21058,5116,66,0,7386,18,5.85315310949737,285.034749850364,279.04490029709,0,0.68759402919838,0,14274.004,7456.455,12915.217,3904.6006,43.58279,8.863932
3,2020-01-01 03:00:00,296.91,6317,19088,5116,66,0,9383,15,5.85315310949737,285.034749850364,279.04490029709,0,0.68759402919838,41.471447,13971.932,7246.203,12884.426,3873.2534,42.229534,8.4908695
4,2020-01-01 04:00:00,281.51,5907,17667,5117,41,0,10450,14,5.40335297656413,284.768851914764,279.618053651336,0,1.15077468207657,70.0494,13348.552,7008.76,12035.43,3864.9072,37.029324,8.762373
5,2020-01-01 05:00:00,267.89,5775,15677,5117,39,0,11448,17,5.40335297656413,284.768851914764,279.618053651336,0,1.15077468207657,25.46407,13089.138,6694.2085,11130.339,3900.5615,21.155792,9.438945
6,2020-01-01 06:00:00,260.64,5756,14320,5117,2,0,11934,14,5.40335297656413,284.768851914764,279.618053651336,0,1.15077468207657,0.8784165,12381.46,6505.0854,10135.601,3847.8608,19.786898,9.739475
7,2020-01-01 07:00:00,249.75,5787,12738,5117,20,0,12842,17,4.85123734761615,284.484605809366,279.903311705985,0,0.611066264573079,0,11531.955,6163.0225,9687.986,3829.9734,10.143741,10.281036
8,2020-01-01 08:00:00,243.46,5761,11982,5117,12,0,13340,13,4.85123734761615,284.484605809366,279.903311705985,0,0.611066264573079,10.415207,11271.415,6148.024,9782.867,3815.3875,0,11.232068
9,2020-01-01 09:00:00,235.71,5726,11037,5117,3,0,13926,15,4.85123734761615,284.484605809366,279.903311705985,0,0.611066264573079,51.988457,10653.442,6041.231,9765.634,3849.572,0,10.968819
10,2020-01-01 10:00:00,227.71,5606,10334,5117,5,0,14458,12,4.35521046200119,284.273659177978,280.009507744476,0,0.931467695186623,0,10272.838,6387.7046,9931.796,3857.3826,4.504616,10.513947
11,2020-01-01 11:00:00,224.15,5503,10326,5117,42,0,14735,13,4.35521046200119,284.273659177978,280.009507744476,0,0.931467695186623,0,10199.562,6682.9243,10507.388,3809.675,17.473879,10.27483
12,2020-01-01 12:00:00,230.94,5600,11083,5117,43,0,14366,16,4.35521046200119,284.273659177978,280.009507744476,0,0.931467695186623,15.049067,9735.768,6971.668,11672.568,3867.7644,31.466486,10.916379
