,UTC time,carbon_intensity,carbon_from_src_forecasts,avg_wind_production_forecast,avg_solar_production_forecast,avg_coal_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_other_production_forecast
0,2021-07-01 00:00:00,402.21,405.93,1534.8977,237.72912,43134.332,1653.5721,53700.332,30517.098,1551.5111,2572.1604
1,2021-07-01 01:00:00,405.33,406.76,1182.665,102.37471,41779.293,885.7199,50555.84,30501.633,1341.3785,2322.9773
2,2021-07-01 02:00:00,403.6,403.38,1027.3181,70.06801,39929.855,583.1175,46967.707,30532.078,1154.4945,1859.2998
3,2021-07-01 03:00:00,398.23,395.96,1067.6405,0.0,37388.723,570.93756,43600.668,30553.617,997.3833,1441.532
4,2021-07-01 04:00:00,401.77,386.98,1118.856,0.0,34694.918,701.3793,38838.31,30548.156,820.1971,1214.3799
5,2021-07-01 05:00:00,386.31,378.84,1084.4282,0.0,32425.344,729.39606,36753.28,30570.12,701.78033,1095.3481
6,2021-07-01 06:00:00,376.65,373.05,989.72504,0.0,30575.16,539.30273,34254.51,30568.02,559.3757,1132.5222
7,2021-07-01 07:00:00,370.79,373.32,1010.16406,18.89424,30678.363,557.86487,33447.6,30567.33,401.3095,1185.97
8,2021-07-01 08:00:00,369.4,369.92,949.232,0.0,29889.424,643.3205,33310.996,30565.88,288.8906,1091.2117
9,2021-07-01 09:00:00,370.1,370.11,1002.211,0.0,29978.926,654.0459,34278.895,30557.592,291.04706,1108.3889
10,2021-07-01 10:00:00,370.01,372.68,993.296,0.0,30580.768,599.0514,35593.387,30565.72,347.21835,1107.2089
11,2021-07-01 11:00:00,373.61,377.08,1041.8777,208.99391,31955.299,538.6909,38368.62,30616.629,402.60678,1230.7418
12,2021-07-01 12:00:00,372.12,379.83,949.5908,692.44396,33099.184,546.7993,39782.5,30592.127,444.5065,1268.5566
13,2021-07-01 13:00:00,372.42,380.57,974.876,1143.82413,34092.484,875.8912,42805.977,30578.885,450.68597,1451.2202
14,2021-07-01 14:00:00,378.13,385.51,1040.1001,1394.94747,36323.19,1210.6133,46717.145,30596.531,464.04932,1653.9784
15,2021-07-01 15:00:00,378.54,390.6,1068.1754,1521.60386,38840.887,1734.5385,49825.0,30658.902,418.03387,1827.4661
16,2021-07-01 16:00:00,370.61,387.6,1371.4313,1685.30629,39340.426,2632.815,53710.734,30609.5,412.61896,1907.4844
17,2021-07-01 17:00:00,368.48,386.26,1524.4021,1790.67172,40186.414,3671.002,55060.383,30562.19,515.84094,1953.1714
18,2021-07-01 18:00:00,364.64,385.37,1798.5009,1829.2578,41221.676,4570.756,57434.785,30578.205,563.5702,1957.1057
19,2021-07-01 19:00:00,360.07,385.06,1910.5132,1711.73732,41612.066,5075.945,57551.11,30565.113,676.41376,1943.3623
20,2021-07-01 20:00:00,362.0,382.01,2030.2955,1483.00689,40209.453,4960.4893,57523.684,30601.543,780.6954,2077.0408
21,2021-07-01 21:00:00,365.41,388.69,2425.5217,1176.20287,42208.707,4397.1826,57901.773,30627.393,875.14935,2187.4329
22,2021-07-01 22:00:00,366.31,390.44,2421.1665,745.4585,41310.26,3466.9426,56322.816,30594.543,961.95056,2193.4263
23,2021-07-01 23:00:00,372.96,393.11,2355.9893,328.22301,40931.184,2694.3909,54714.33,30633.48,919.18915,2155.9387
24,2021-07-02 00:00:00,371.8,383.93,3466.6335,0.0,37110.027,1123.82,44781.887,31265.254,112.36981,2255.7551
25,2021-07-02 01:00:00,368.19,383.13,2819.276,31.62482,35962.78,840.395,42009.04,31243.193,109.715004,1984.415
26,2021-07-02 02:00:00,365.54,378.07,2815.2004,73.70107,34464.266,641.7448,39523.56,31270.586,109.25888,1577.3655
27,2021-07-02 03:00:00,357.61,369.08,2820.8936,0.0,31969.71,539.939,37114.082,31279.89,115.68199,1210.0255
28,2021-07-02 04:00:00,392.98,359.88,2757.5347,0.0,29709.152,587.43744,33255.125,31270.807,119.26132,1059.6663
