UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,other,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_wind_production_forecast,avg_solar_production_forecast,avg_coal_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_other_production_forecast
2020-01-01 00:00:00,13695,35193,28879,206,3697,0,2209,710,4.64861847166366,276.707855632411,272.263110159391,177.964563891053,0.000370912084871,7010.1416,1.00011,11825.646,2898.3586,35485.12,33391.984,197.38805,490.53043
2020-01-01 01:00:00,12995,33634,28882,208,2691,0,2310,713,4.56311002644715,276.919473984901,272.321928261034,0,0,6735.409,0,11790.291,2524.8687,34569.016,33379.945,199.47221,529.0154
2020-01-01 02:00:00,12459,32597,28801,212,1753,0,2320,709,4.56311002644715,276.919473984901,272.321928261034,0,0,6641.3784,0,11818.4375,1801.1403,33505.04,33498.832,196.83212,507.86768
2020-01-01 03:00:00,11961,31081,28780,211,964,0,2330,722,4.56311002644715,276.919473984901,272.321928261034,0,0,6682.2456,12.90165,11345.075,1322.946,32183.008,33440.355,212.58795,492.0343
2020-01-01 04:00:00,10988,29768,29015,214,933,0,2144,709,4.3839921980041,276.775478403831,272.238443892558,0,0,6726.148,0,10283.92,1086.0695,30567.688,33507.055,205.82419,477.45987
2020-01-01 05:00:00,11757,27375,28811,212,696,0,2397,538,4.3839921980041,276.775478403831,272.238443892558,0,0,6619.0835,0,9796.852,1065.0635,28677.219,33429.277,212.67365,536.45416
2020-01-01 06:00:00,12177,32353,33093,214,489,0,4964,57,4.3839921980041,276.775478403831,272.238443892558,0,0,6642.8506,0,9494.497,967.15686,28365.832,33391.383,216.74353,577.39417
2020-01-01 07:00:00,13080,30802,33083,213,503,0,4762,64,4.18724888923061,276.706208445506,272.386835094524,0,0.006618037791381,6570.6094,0,9734.394,687.06445,28529.414,33357.207,217.86768,499.61444
2020-01-01 08:00:00,12638,30171,33070,219,492,0,4141,62,4.18724888923061,276.706208445506,272.386835094524,0,0.006618037791381,6540.5063,0,9286.615,582.5428,28947.416,33460.78,219.68924,561.4494
2020-01-01 09:00:00,12382,29844,32942,221,581,0,4369,53,4.18724888923061,276.706208445506,272.386835094524,0,0.006618037791381,6313.6914,0,10353.041,692.1917,29977.457,33496.266,221.72034,565.1827
2020-01-01 10:00:00,13113,29946,32945,221,1020,0,4111,54,4.05199224691753,276.817332607096,272.764668463416,0,0.154519239094363,6067.2344,22.20756,10394.822,1234.4521,31346.154,33398.277,216.98009,549.6166
2020-01-01 11:00:00,12283,31291,32956,218,1136,0,3861,39,4.05199224691753,276.817332607096,272.764668463416,0,0.154519239094363,6029.6616,134.69997,11424.237,2000.6064,32960.117,33490.355,210.22038,546.2808
2020-01-01 12:00:00,12272,32508,32961,217,1502,0,3515,40,4.05199224691753,276.817332607096,272.764668463416,0,0.154519239094363,5796.0454,212.80966,11907.085,2665.5469,33857.695,33374.85,220.43878,561.9559
2020-01-01 13:00:00,12094,33202,32960,215,1782,0,3653,60,4.76653513885226,279.363219612735,274.481247916933,74.4179208416327,0.391826771420285,5649.8545,388.14336,11698.407,2636.5457,34347.86,33588.316,216.66374,539.31024
2020-01-01 14:00:00,11992,33347,32968,214,1810,368,4369,50,4.76653513885226,279.363219612735,274.481247916933,74.4179208416327,0.391826771420285,5485.1704,543.18905,12075.912,2247.844,34547.082,33272.184,215.51266,540.1281
